Section,Question,Answer,processed_question
General Finance,what is a bond?,"A bond is a debt investment where you lend money to a company or government. In return, you receive regular interest and your principal back at maturity.",bond
General Finance,what is diversification?,"Diversification means spreading your investments across different assets — stocks, bonds, gold, real estate — to reduce the impact of any single loss.",diversification
General Finance,what is foreign exchange?,Foreign exchange (forex) is the system for converting one country's currency into another. Exchange rates change constantly based on demand and supply.,foreign exchange
General Finance,what is the stock exchange?,A stock exchange is an organized platform where shares and securities are bought and sold. NSE and BSE are India's two main stock exchanges.,stock exchange
General Finance,what is a share?,"A share represents a small ownership stake in a company. When you buy shares, you become a part-owner and can profit from the company's growth.",share
General Finance,what is a dividend?,A dividend is a portion of a company's profits paid out to its shareholders. It rewards investors for holding the company's stock.,dividend
General Finance,what is a bull market?,A bull market is when stock prices are rising and investor confidence is high. It usually comes during strong economic growth.,bull market
General Finance,what is a bear market?,A bear market is when stock prices fall 20% or more from recent highs. It usually happens during economic downturns or recessions.,bear market
General Finance,what is a portfolio?,"A portfolio is your complete collection of investments — stocks, bonds, mutual funds, FDs, real estate — held to meet your financial goals.",portfolio
General Finance,what is risk and return?,Risk and return are linked. Higher return investments (like stocks) come with higher risk. Lower risk assets (like FDs) offer lower but stable returns.,risk return
General Finance,what is a financial year?,"In India, the financial year runs from April 1 to March 31. Taxes, bank interest, and company results are calculated for this period.",financial year
General Finance,what is income tax?,Income tax is a direct tax paid to the government based on your annual income. The rate depends on your income slab under the new or old tax regime.,income tax
General Finance,what is gst?,GST is Goods and Services Tax — a single indirect tax that replaced many older taxes. It is charged on the sale of goods and services across India.,gst
General Finance,what is tds?,"TDS is Tax Deducted at Source. The payer deducts tax before making a payment — for interest, salary, rent — and deposits it with the government.",tds
General Finance,what is a direct tax?,A direct tax is paid directly by the person or entity on whom it is levied. Examples include income tax and corporate tax.,direct tax
General Finance,what is an indirect tax?,An indirect tax is collected by an intermediary (like a seller) from the consumer and paid to the government. GST is the main indirect tax in India.,indirect tax
General Finance,what is capital gains tax?,Capital gains tax is charged on profit made from selling an asset like shares or property. Short-term and long-term gains are taxed at different rates.,capital gains tax
General Finance,what is a demat account?,"A demat account stores your shares and securities electronically, the way a bank account stores money. It's mandatory for trading in the stock market.",demat account
General Finance,what is a trading account?,A trading account is used to place buy and sell orders in the stock market. It works alongside a demat account.,trading account
